Pname,ExpirationDate,strength,DrugInteraction,AmountAvailable
Stool Softener,2021-02-23,5mg,rizatriptan benzoate,156
Meclizine Hydrochloride,2021-04-16,25mg,Aspirin,774
Cupric Sulfate,2021-04-22,5mg,Constipation Symptom Formula,639
LEVAQUIN,2021-07-18,200mg,Olanzapine,81
ALOE,2021-11-24,500mg,Glyburide,931
Oxygen,2021-04-26,25mg,Metformin Hydrochloride,464
Carvedilol,2021-05-18,50mg,CVS Pharmacy,161
Clearasil Ultra,2021-08-21,100mg,nighttime cold and flu relief,96
Lasting Results Moisturizer,2021-04-11,20mg,Norepinephrine Bitartrate,556
Liothyronine Sodium,2021-09-21,25mg,Propranolol Hydrochloride,503
Doxazosin Mesylate,2021-09-06,100mg,HYDROCODONE BITARTRATE,790
Good Neighbor Pharmacy Heartburn Relief,2021-10-31,10mg,Perfecting Liquid Foundation Rosy Beige,211
"COMPRESSED GAS OXIDIZING, N.O.S.",2021-08-13,500mg,Aconitum e tub. 6 Special Order,144
Tobramycin,2021-02-22,15mg,Appbutamone,934
